Added_Sugars,Added_Sugars/#agg,Alcohol,Alcohol/#agg,Calories,Calories/#agg,Display_Name,Drkgreen_Vegetables,Drkgreen_Vegetables/#agg,Drybeans_Peas,Drybeans_Peas/#agg,Factor,Factor/#agg,Food_Code,Food_Code/#agg,Fruits,Fruits/#agg,Grains,Grains/#agg,Increment,Increment/#agg,Meats,Meats/#agg,Milk,Milk/#agg,Multiplier,Multiplier/#agg,Oils,Oils/#agg,Orange_Vegetables,Orange_Vegetables/#agg,Other_Vegetables,Other_Vegetables/#agg,Portion_Amount,Portion_Amount/#agg,Portion_Default,Portion_Default/#agg,Portion_Display_Name,Saturated_Fats,Saturated_Fats/#agg,Solid_Fats,Solid_Fats/#agg,Soy,Soy/#agg,Starchy_vegetables,Starchy_vegetables/#agg,Vegetables,Vegetables/#agg,Whole_Grains,Whole_Grains/#agg
1.57001,1.57001,0,0,133.65,133.65,Sour cream dip,0,0,0,0,0.25,0.25,12350000,12350000,0,0,0.04799,0.04799,0.25,0.25,0,0,0,0,1,1,0,0,0,0,0.0407,0.0407,0.25,0.25,1,1,cup,7.36898,7.36898,105.6485,105.6485,0,0,0,0,0.0407,0.0407,0,0
95.20488,95.20488,0,0,267.33,267.33,"Ice cream, regular",0,0,0,0,1,1,13110100,13110100,0,0,0,0,0.25,0.25,0,0,0.29393,0.29393,0.25,0.25,0,0,0,0,0,0,1,1,1,1,cup,9.0307,9.0307,130.99968,130.99968,0,0,0,0,0,0,0,0
96.1034,96.1034,0,0,368.52,368.52,"Ice cream, rich",0,0,0,0,1,1,13110120,13110120,0,0,0,0,0.25,0.25,0.0962,0.0962,0.2516,0.2516,0.25,0.25,0,0,0,0,0,0,1,1,1,1,cup,15.2884,15.2884,213.06672,213.06672,0,0,0,0,0,0,0,0
123.83793,123.83793,0,0,347.73,347.73,Soft serve ice cream,0,0,0,0,1,1,13110200,13110200,0,0,0,0,0.25,0.25,0,0,0.38233,0.38233,0.25,0.25,0,0,0,0,0,0,1,1,1,1,cup,11.7467,11.7467,170.39808,170.39808,0,0,0,0,0,0,0,0
45.54761,45.54761,0,0,169.12,169.12,"Ice cream bar, chocolate covered",0,0,0,0,1,1,13120100,13120100,0,0,0,0,0.5,0.5,0,0,0.09744,0.09744,0.5,0.5,0,0,0,0,0,0,1,1,1,1,bar (bar = 3 fl oz),9.5872,9.5872,112.32144,112.32144,0,0,0,0,0,0,0,0
74.82821,74.82821,0,0,277.84,277.84,"Ice cream bar, chocolate covered",0,0,0,0,1,1,13120100,13120100,0,0,0,0,0.5,0.5,0,0,0.16008,0.16008,0.5,0.5,0,0,0,0,0,0,1,1,2,2,Klondike Krispy bar,15.7504,15.7504,184.52808,184.52808,0,0,0,0,0,0,0,0
48.40002,48.40002,0,0,143.37,143.37,Ice cream sandwich,0,0,0,0,1,1,13120500,13120500,0,0,0.53454,0.53454,0.5,0.5,0,0,0.09912,0.09912,0.5,0.5,0,0,0,0,0,0,1,1,1,1,sandwich,3.2332,3.2332,49.46265,49.46265,0,0,0,0,0,0,0,0
70.88353,70.88353,0,0,216.15,216.15,Light ice cream,0,0,0,0,1,1,13130300,13130300,0,0,0,0,0.25,0.25,0,0,0.7598,0.7598,0.25,0.25,0,0,0,0,0,0,1,1,1,1,cup,3.3929,3.3929,45.60372,45.60372,0,0,0,0,0,0,0,0
0,0,0,0,220.5,220.5,Light soft serve ice cream,0,0,0,0,1,1,13130600,13130600,0,0,0,0,0.25,0.25,0,0,0.7175,0.7175,0.25,0.25,0,0,0,0,0,0,1,1,1,1,cup,2.8525,2.8525,39.6585,39.6585,0,0,0,0,0,0,0,0
41.22339,41.22339,0,0,129.6,129.6,Light ice cream sandwich,0,0,0,0,1,1,13135000,13135000,0,0,0.5436,0.5436,0.5,0.5,0,0,0.2652,0.2652,0.5,0.5,0,0,0,0,0,0,1,1,1,1,sandwich,1.368,1.368,21.2112,21.2112,0,0,0,0,0,0,0,0
37.81981,37.81981,0,0,153.44,153.44,Light ice cream bar,0,0,0,0,1,1,13140100,13140100,0,0,0,0,0.5,0.5,0,0,0.25648,0.25648,0.5,0.5,0,0,0,0,0,0,1,1,1,1,bar (bar = 3 fl oz),7.728,7.728,84.15288,84.15288,0,0,0,0,0,0,0,0
37.92188,37.92188,0,0,121.91,121.91,Light fudgesicle,0,0,0,0,1,1,13140900,13140900,0,0,0,0,0.5,0.5,0,0,0.40661,0.40661,0.5,0.5,0,0,0,0,0,0,1,1,1,1,sicle (sicle = 2.5 fl oz),2.0367,2.0367,27.86337,27.86337,0,0,0,0,0,0,0,0
151.04761,151.04761,0,0,277.92,277.92,Sherbet,0,0,0,0,1,1,13150000,13150000,0.11387,0.11387,0,0,0.25,0.25,0,0,0.21423,0.21423,0.25,0.25,0.04932,0.04932,0,0,0,0,1,1,1,1,cup,2.2388,2.2388,18.20376,18.20376,0,0,0,0,0,0,0,0
51.65359,51.65359,0,0,95.04,95.04,Sherbet,0,0,0,0,1,1,13150000,13150000,0.03894,0.03894,0,0,0.5,0.5,0,0,0.07326,0.07326,0.5,0.5,0.01687,0.01687,0,0,0,0,1,1,2,2,push up,0.7656,0.7656,6.22512,6.22512,0,0,0,0,0,0,0,0
73.98561,73.98561,0,0,152.64,152.64,"Low fat, low sugar ice milk",0,0,0,0,1,1,13160150,13160150,0,0,0.04176,0.04176,0.25,0.25,0.08928,0.08928,0.43344,0.43344,0.25,0.25,0.352,0.352,0,0,0,0,1,1,1,1,cup,0.8928,0.8928,7.9704,7.9704,0,0,0,0,0,0,0,0
0,0,0,0,113.8475,113.8475,"Cheese (cheddar, Swiss)",0,0,0,0,0.25,0.25,14104010,14104010,0,0,0,0,0.25,0.25,0,0,0.66444,0.66444,1,1,0,0,0,0,0,0,0.25,0.25,2,2,cup shredded,5.95793,5.95793,83.06347,83.06347,0,0,0,0,0,0,0,0
0,0,0,0,68.51,68.51,"Cheese (cheddar, Swiss)",0,0,0,0,1,1,14104010,14104010,0,0,0,0,0.5,0.5,0,0,0.39984,0.39984,0.5,0.5,0,0,0,0,0,0,1,1,2,2,cubic inch,3.5853,3.5853,49.9851,49.9851,0,0,0,0,0,0,0,0
0,0,0,0,99,99,Feta or goat cheese,0,0,0,0,0.25,0.25,14104400,14104400,0,0,0,0,0.25,0.25,0,0,0.6615,0.6615,1,1,0,0,0,0,0,0,0.25,0.25,1,1,cup crumbled,5.60625,5.60625,70.62862,70.62862,0,0,0,0,0,0,0,0
0,0,0,0,100.32,100.32,Feta or goat cheese,0,0,0,0,1,1,14104400,14104400,0,0,0,0,0.5,0.5,0,0,0.67032,0.67032,0.5,0.5,0,0,0,0,0,0,1,1,2,2,wedge (wedge=1.3 oz),5.681,5.681,71.57034,71.57034,0,0,0,0,0,0,0,0
0,0,0,0,85.617,85.617,Mozzarella cheese (part skim),0,0,0,0,1,1,14107030,14107030,0,0,0,0,0.5,0.5,0,0,0.66679,0.66679,0.5,0.5,0,0,0,0,0,0,1,1,1,1,slice (slice = 1 oz),3.59194,3.59194,49.90734,49.90734,0,0,0,0,0,0,0,0
0,0,0,0,48,48,Low fat cheddar or Swiss,0,0,0,0,0.25,0.25,14109030,14109030,0,0,0,0,0.25,0.25,0,0,0.95229,0.95229,1,1,0,0,0,0,0,0,0.25,0.25,2,2,"cup, shredded",0.892,0.892,10.67985,10.67985,0,0,0,0,0,0,0,0
